Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
BEF,C6,3,N,1,0,YB,0.0165,0.0191,10.7122,0.0545,4.8244,1.4914,2.6939,0.2852,0.3103,0.8052,0.025,0.1883,,0.4986,0.0108,10.8,46.17,28,4.5,1975
BEF,C6,4,P,0,1,BE,0.0196,0.0169,9.7322,0.0398,8.27,0.2274,2.177,0.4418,2.0928,0.6912,0.0223,0.0257,,0.5002,0.0063,6.254,79.99,26,4.97,1975
BEF,C6,4,P,0,1,RM,0.0096,0.0239,9.4958,0.0488,5.4678,0.6825,1.8146,0.2773,2.1825,0.7498,0.0169,0.0331,,0.4921,0.0065,6.515,75.57,28,6.53,1975
BEF,C6,4,P,0,1,WB,0.0183,0.024,9.1169,0.0375,6.9582,0.9046,2.6779,0.3738,2.6354,0.6481,0.02,0.1958,,0.5095,0.0065,6.545,77.84,27,4.29,1975
BEF,C6,4,P,0,1,YB,0.0138,0.0274,13.7397,0.0472,6.2569,1.6309,3.8989,0.2899,3.3303,0.6964,0.0295,0.2819,,0.4843,0.0068,6.757,71.67,28,4.91,1975
BEF,C6,5,Ca,0,0,BE,0.0262,0.0142,11.2263,0.0351,3.7042,0.7963,1.071,0.2608,0.2075,0.7654,0.0179,0.0263,,0.4936,0.0049,4.915,100.42,27,5.33,1975
BEF,C6,5,Ca,0,0,RM,0.0082,0.0182,7.4094,0.0514,3.9549,0.6259,0.7901,0.3697,0.2247,0.7116,0.0088,0.0331,,0.506,0.0051,5.102,99.18,27,8.34,1975
BEF,C6,5,Ca,0,0,WB,0.0185,0.0181,12.9149,0.0337,6.412,1.4672,1.1983,4.544,0.2177,0.6936,0.0303,0.248,,0.492,0.0055,5.526,89.05,27,4.5,1975
BEF,C6,5,Ca,0,0,YB,0.0185,0.0278,19.3699,0.0505,7.4169,2.1504,2.0985,0.303,0.2957,0.9189,0.0474,0.3675,,0.4849,0.0088,8.776,55.25,27,4.14,1975
BEF,C8,1,P,0,1,BE,0.0163,0.0116,7.4159,0.0265,3.8103,0.8986,1.0039,0.2716,1.5398,0.6701,0.0197,0.0229,,0.5046,0.0061,6.055,83.33,27,5.28,1883
